t: 0	x_0: 1000	x_1: 0	
t: 0.01	x_0: 999.51	x_1: -98	
t: 0.02	x_0: 998.0402401	x_1: -195.90396	
t: 0.03	x_0: 995.592160782351	x_1: -293.6159105894	
t: 0.04	x_0: 992.1681615176736	x_1: -391.04007054988165	
t: 0.05	x_0: 987.7715984130311	x_1: -488.08094074404426	
t: 0.060000000000000005	x_0: 982.4067809223683	x_1: -584.6433977275567	
t: 0.07	x_0: 976.0789676224408	x_1: -680.6327869930623	
t: 0.08	x_0: 968.7943610583752	x_1: -775.9550157544348	
t: 0.09	x_0: 960.5601016639123	x_1: -870.516645180436	
t: 0.09999999999999999	x_0: 951.3842607622926	x_1: -964.2249819873609	
t: 0.10999999999999999	x_0: 941.2758326546455	x_1: -1056.9881693008917	
t: 0.11999999999999998	x_0: 930.2447258036358	x_1: -1148.7152766980896	
t: 0.12999999999999998	x_0: 918.3017531210111	x_1: -1239.3163893412639	
t: 0.13999999999999999	x_0: 905.4586213685691	x_1: -1328.7026961163458	
t: 0.15	x_0: 891.7279196829351	x_1: -1416.7865766893685	
t: 0.16	x_0: 877.1231072353968	x_1: -1503.4816873957184	
t: 0.17	x_0: 861.6585000388942	x_1: -1588.7030458779634	
t: 0.18000000000000002	x_0: 845.3492569150956	x_1: -1672.3671143892948	
t: 0.19000000000000003	x_0: 828.2113646353142	x_1: -1754.3918816809235	
t: 0.20000000000000004	x_0: 810.2616222498336	x_1: -1834.6969433931606	
t: 0.21000000000000005	x_0: 791.5176246209996	x_1: -1913.2035808713817	
t: 0.22000000000000006	x_0: 771.9977451762215	x_1: -1989.8348383296127	
t: 0.23000000000000007	x_0: 751.7211178977891	x_1: -2064.515598286101	
t: 0.24000000000000007	x_0: 730.7076185671582	x_1: -2137.172655196924	
t: 0.25000000000000006	x_0: 708.977845282091	x_1: -2207.734787215459	
t: 0.26000000000000006	x_0: 686.5530982657482	x_1: -2276.1328260073683	
t: 0.2700000000000001	x_0: 663.4553589875243	x_1: -2342.299724552668	
t: 0.2800000000000001	x_0: 639.7072686160938	x_1: -2406.1706228684147	
t: 0.2900000000000001	x_0: 615.3321058257877	x_1: -2467.682911587586	
t: 0.3000000000000001	x_0: 590.3537639780573	x_1: -2526.7762933318354	
t: 0.3100000000000001	x_0: 564.7967277003896	x_1: -2583.3928418179526	
t: 0.3200000000000001	x_0: 538.6860488856369	x_1: -2637.4770586401	
t: 0.3300000000000001	x_0: 512.0473221352819	x_1: -2688.975927672159	
t: 0.34000000000000014	x_0: 484.906659670714	x_1: -2737.838967036857	
t: 0.35000000000000014	x_0: 457.2906657371068	x_1: -2784.018278590739	
t: 0.36000000000000015	x_0: 429.22641052498824	x_1: -2827.4685948764663	
t: 0.37000000000000016	x_0: 400.7414036350663	x_1: -2868.1473234964255	
t: 0.38000000000000017	x_0: 371.8635671123209	x_1: -2906.0145888641487	
t: 0.3900000000000002	x_0: 342.62120807579436	x_1: -2941.033271292613	
t: 0.4000000000000002	x_0: 313.0429909709111	x_1: -2973.1690433811073	
t: 0.4100000000000002	x_0: 283.15790947152425	x_1: -3002.3904036649997	
t: 0.4200000000000002	x_0: 252.9952580592332	x_1: -3028.6687074954134	
t: 0.4300000000000002	x_0: 222.58460330783004	x_1: -3051.9781951185455	
t: 0.4400000000000002	x_0: 191.95575490102374	x_1: -3072.2960169271046	
t: 0.45000000000000023	x_0: 161.1387364118512	x_1: -3089.6022558591108	
t: 0.46000000000000024	x_0: 130.16375587241828	x_1: -3103.879946922101	
t: 0.47000000000000025	x_0: 99.06117616281978	x_1: -3115.1150938236065	
t: 0.48000000000000026	x_0: 67.86148524826393	x_1: -3123.296682691589	
t: 0.49000000000000027	x_0: 36.595266293576394	x_1: -3128.4166928714	
t: 0.5000000000000002	x_0: 5.293167684378542	x_1: -3130.4701047886633	
t: 0.5100000000000002	x_0: -26.014127015673438	x_1: -3129.454904870386	
t: 0.5200000000000002	x_0: -57.29592914213962	x_1: -3125.3720875194635	
t: 0.5300000000000002	x_0: -88.52157501205461	x_1: -3118.225654140649	
t: 0.5400000000000003	x_0: -119.6604559817052	x_1: -3108.0226092189387	
t: 0.5500000000000003	x_0: -150.68204845046355	x_1: -3094.772953454214	
t: 0.5600000000000003	x_0: -181.55594378126497	x_1: -3078.489673958876	
t: 0.5700000000000003	x_0: -212.25187810840092	x_1: -3059.1887315280724	
t: 0.5800000000000003	x_0: -242.73976200340852	x_1: -3036.8890449950004	
t: 0.5900000000000003	x_0: -272.98970996997684	x_1: -3011.6124726866187	
t: 0.6000000000000003	x_0: -302.97206973895777	x_1: -2983.3837909979447	
t: 0.6100000000000003	x_0: -332.65745133476514	x_1: -2952.230670105938	
t: 0.6200000000000003	x_0: -362.0167558846705	x_1: -2918.183646846779	
t: 0.6300000000000003	x_0: -391.0212041427548	x_1: -2881.2760947831266	
t: 0.6400000000000003	x_0: -419.64236470055613	x_1: -2841.544191490693	
t: 0.6500000000000004	x_0: -447.8521818567598	x_1: -2799.0268830962077	
t: 0.6600000000000004	x_0: -475.6230031186121	x_1: -2753.765846101528	
t: 0.6700000000000004	x_0: -502.92760630809926	x_1: -2705.8054465313144	
t: 0.6800000000000004	x_0: -529.7392262463214	x_1: -2655.1926964443205	
t: 0.6900000000000004	x_0: -556.031580989904	x_1: -2601.977207850923	
